1210	Star Wars: Episode VI - Return of the Jedi (1983)	Action|Adventure|Romance|Sci-Fi|War	5	4	3.5	1
2028	Saving Private Ryan (1998)	Action|Drama|War	3	4	4.0	2
2858	American Beauty (1999)	Comedy|Drama	2	4	3.25	3
260	Star Wars: Episode IV - A New Hope (1977)	Action|Adventure|Fantasy|Sci-Fi	4	3	4.67	4
480	Jurassic Park (1993)	Action|Adventure|Sci-Fi	3	3	4.33	5
590	Dances with Wolves (1990)	Adventure|Drama|Western	3	3	4.0	6
593	Silence of the Lambs, The (1991)	Drama|Thriller	2	3	4.0	7
1196	Star Wars: Episode V - The Empire Strikes Back (1980)	Action|Adventure|Drama|Sci-Fi|War	5	3	3.67	8
1198	Raiders of the Lost Ark (1981)	Action|Adventure	2	3	4.67	9
2006	Mask of Zorro, The (1998)	Action|Adventure|Romance	3	3	3.67	10
2355	Bug's Life, A (1998)	Animation|Children's|Comedy	3	3	5.0	11
2692	Run Lola Run (Lola rennt) (1998)	Action|Crime|Romance	3	3	4.33	12
3105	Awakenings (1990)	Drama	1	3	3.67	13
3418	Thelma & Louise (1991)	Action|Drama	2	3	3.67	14
3578	Gladiator (2000)	Action|Drama	2	3	3.67	15
1	Toy Story (1995)	Animation|Children's|Comedy	3	2	4.5	16
48	Pocahontas (1995)	Animation|Children's|Musical|Romance	4	2	5.0	17
150	Apollo 13 (1995)	Drama	1	2	3.5	18
265	Like Water for Chocolate (Como agua para chocolate) (1992)	Drama|Romance	2	2	3.5	19
296	Pulp Fiction (1994)	Crime|Drama	2	2	3.0	20
318	Shawshank Redemption, The (1994)	Drama	1	2	4.0	21
356	Forrest Gump (1994)	Comedy|Romance|War	3	2	3.0	22
368	Maverick (1994)	Action|Comedy|Western	3	2	4.0	23
377	Speed (1994)	Action|Romance|Thriller	3	2	3.5	24
515	Remains of the Day, The (1993)	Drama	1	2	4.5	25
588	Aladdin (1992)	Animation|Children's|Comedy|Musical	4	2	4.0	26
595	Beauty and the Beast (1991)	Animation|Children's|Musical	3	2	4.5	27
608	Fargo (1996)	Crime|Drama|Thriller	3	2	4.0	28
648	Mission: Impossible (1996)	Action|Adventure|Mystery	3	2	3.5	29
733	Rock, The (1996)	Action|Adventure|Thriller	3	2	3.0	30
919	Wizard of Oz, The (1939)	Adventure|Children's|Drama|Musical	4	2	4.0	31
1035	Sound of Music, The (1965)	Musical	1	2	5.0	32
1097	E.T. the Extra-Terrestrial (1982)	Children's|Drama|Fantasy|Sci-Fi	4	2	4.0	33
1188	Strictly Ballroom (1992)	Comedy|Romance	2	2	4.0	34
1193	One Flew Over the Cuckoo's Nest (1975)	Drama	1	2	5.0	35
1197	Princess Bride, The (1987)	Action|Adventure|Comedy|Romance	4	2	4.0	36
