1	1	5	978824268	2001-01-07
1	1035	5	978301753	2001-01-01
1	1197	3	978302268	2001-01-01
1	1545	4	978824139	2001-01-07
1	1836	5	978300172	2001-01-01
1	2687	3	978824268	2001-01-07
1	2918	4	978302124	2001-01-01
1	3114	4	978302174	2001-01-01
1	594	4	978302268	2001-01-01
1	595	5	978824268	2001-01-07
1	745	3	978824268	2001-01-07
1	783	4	978824291	2001-01-07
2	1084	3	978298813	2001-01-01
2	1090	2	978298580	2001-01-01
2	1096	4	978299386	2001-01-01
2	1103	3	978298905	2001-01-01
2	1196	5	978298730	2001-01-01
2	1198	4	978298124	2001-01-01
2	1213	2	978298458	2001-01-01
2	1259	5	978298841	2001-01-01
2	1265	3	978299712	2001-01-01
2	1370	5	978299889	2001-01-01
2	1597	3	978300025	2001-01-01
2	2028	4	978299773	2001-01-01
2	21	1	978299839	2001-01-01
2	2194	4	978299297	2001-01-01
2	2321	3	978299666	2001-01-01
2	2359	3	978299666	2001-01-01
2	2628	3	978300051	2001-01-01
2	265	4	978299026	2001-01-01
2	2717	3	978298196	2001-01-01
2	2852	3	978298958	2001-01-01
2	2943	4	978298372	2001-01-01
2	3468	5	978298542	2001-01-01
2	380	5	978299809	2001-01-01
2	480	5	978299809	2001-01-01
2	515	5	978298542	2001-01-01
2	590	5	978299083	2001-01-01
2	647	3	978299351	2001-01-01
2	780	3	978299966	2001-01-01
2	902	2	978298905	2001-01-01
2	920	5	978298775	2001-01-01
3	104	4	978298486	2001-01-01
3	1198	5	978297570	2001-01-01
3	1291	4	978297600	2001-01-01
3	1379	4	978297419	2001-01-01
3	1394	4	978298147	2001-01-01
3	1641	2	978298430	2001-01-01
3	1961	4	978297095	2001-01-01
3	1968	4	978297068	2001-01-01
3	2470	4	978297777	2001-01-01
3	260	5	978297512	2001-01-01
3	2871	4	978297539	2001-01-01
3	648	3	978297867	2001-01-01
4	1201	5	978294230	2001-01-01
4	1210	3	978293924	2001-01-01
4	1954	5	978294282	2001-01-01
4	2692	5	978294230	2001-01-01
4	3418	4	978294260	2001-01-01
4	3702	4	978294260	2001-01-01
5	1171	4	978244852	2000-12-31
5	1175	5	978244759	2000-12-31
5	1191	2	978246426	2000-12-31
5	1527	3	978246479	2000-12-31
5	1535	4	978245513	2000-12-31
5	1594	1	978245548	2000-12-31
5	16	3	978245645	2000-12-31
5	1635	4	978245314	2000-12-31
5	1643	3	978245916	2000-12-31
5	1719	3	978244205	2000-12-31
5	1759	4	978245513	2000-12-31
5	1788	3	978244603	2000-12-31
5	1794	3	978245966	2000-12-31
5	1912	3	978244624	2000-12-31
5	202	2	978246033	2000-12-31
5	2188	1	978241390	2000-12-31
5	2337	5	978243121	2000-12-31
5	2359	3	978245568	2000-12-31
5	2560	4	978242977	2000-12-31
5	2599	5	978242323	2000-12-31
5	265	3	978245037	2000-12-31
5	2716	3	978242607	2000-12-31
5	2717	1	978241072	2000-12-31
5	2734	2	978242788	2000-12-31
5	2890	4	978245445	2000-12-31
5	2952	2	978245790	2000-12-31
5	296	4	978244177	2000-12-31
5	3006	3	978245422	2000-12-31
5	3105	2	978246576	2000-12-31
5	3113	1	978242323	2000-12-31
5	3266	2	978246162	2000-12-31
5	348	4	978245863	2000-12-31
5	3499	3	978245065	2000-12-31
5	3514	2	978243869	2000-12-31
5	353	2	978246504	2000-12-31
5	3578	2	978243803	2000-12-31
5	3624	3	978243803	2000-12-31
5	3728	2	978244568	2000-12-31
5	3744	1	978243896	2000-12-31
5	412	2	978245891	2000-12-31
5	497	3	978245687	2000-12-31
5	515	4	978245891	2000-12-31
5	52	2	978246479	2000-12-31
5	593	4	978244177	2000-12-31
5	733	1	978245763	2000-12-31
5	860	2	978244493	2000-12-31
5	896	4	978244493	2000-12-31
5	908	4	978241072	2000-12-31
5	913	5	978242740	2000-12-31
6	1	4	978237008	2000-12-31
6	1043	4	978236219	2000-12-31
6	1101	4	978236670	2000-12-31
6	1688	5	978237570	2000-12-31
6	2006	4	978236122	2000-12-31
6	2081	4	978236567	2000-12-31
6	2406	5	978236670	2000-12-31
6	2802	4	978236612	2000-12-31
6	3536	5	978238230	2000-12-31
6	3604	5	978237767	2000-12-31
6	364	4	978237570	2000-12-31
6	368	4	978237909	2000-12-31
6	3682	3	978238036	2000-12-31
6	383	4	978237909	2000-12-31
